store_id,order_date,total_orders,breach_rate_pct,z_score,is_anomaly,rain_days,holiday_days,avg_delivery_min
1,2023-01-01,26,88.46,0.93,False,2,1,15.307692307692308
1,2023-01-02,30,70.0,-1.48,False,1,0,14.833333333333334
1,2023-01-03,34,70.59,-1.41,False,0,2,13.352941176470589
1,2023-01-04,23,73.91,-0.97,False,2,0,15.0
1,2023-01-05,27,77.78,-0.47,False,3,1,15.11111111111111
1,2023-01-06,25,92.0,1.39,False,0,0,16.2
1,2023-01-07,17,88.24,0.9,False,1,0,15.294117647058824
1,2023-01-08,35,85.71,0.57,False,6,1,16.428571428571427
1,2023-01-09,28,82.14,0.1,False,3,0,14.75
1,2023-01-10,26,69.23,-1.58,False,1,0,13.23076923076923
1,2023-01-11,24,91.67,1.35,False,1,2,15.75
1,2023-01-12,24,79.17,-0.28,False,4,1,14.833333333333334
1,2023-01-13,17,94.12,1.67,False,0,1,16.352941176470587
1,2023-01-14,32,81.25,-0.01,False,2,1,14.09375
1,2023-01-15,28,85.71,0.57,False,3,0,15.642857142857142
1,2023-01-16,32,75.0,-0.83,False,2,0,14.71875
1,2023-01-17,27,88.89,0.98,False,4,0,15.074074074074074
1,2023-01-18,28,78.57,-0.36,False,3,1,15.25
1,2023-01-19,26,69.23,-1.58,False,4,0,14.23076923076923
1,2023-01-20,29,72.41,-1.17,False,1,0,14.068965517241379
1,2023-01-21,20,80.0,-0.18,False,3,0,15.4
1,2023-01-22,30,73.33,-1.05,False,1,1,14.533333333333333
1,2023-01-23,25,80.0,-0.18,False,2,0,16.16
1,2023-01-24,23,95.65,1.87,False,0,1,15.869565217391305
1,2023-01-25,25,80.0,-0.18,False,1,0,14.56
1,2023-01-26,30,76.67,-0.61,False,3,0,14.066666666666666
1,2023-01-27,31,80.65,-0.09,False,1,0,14.451612903225806
1,2023-01-28,26,84.62,0.43,False,1,0,15.346153846153847
1,2023-01-29,31,70.97,-1.36,False,2,0,14.548387096774194
1,2023-01-30,29,82.76,0.18,False,1,1,15.827586206896552
1,2023-01-31,29,79.31,-0.27,False,2,2,14.689655172413794
1,2023-02-01,25,72.0,-1.22,False,3,0,13.2
1,2023-02-02,20,75.0,-0.83,False,0,0,14.9
1,2023-02-03,25,84.0,0.35,False,2,0,15.12
1,2023-02-04,26,84.62,0.43,False,2,0,15.76923076923077
1,2023-02-05,21,76.19,-0.67,False,2,2,13.666666666666666
1,2023-02-06,25,72.0,-1.22,False,4,0,13.88
1,2023-02-07,33,84.85,0.46,False,3,1,15.969696969696969
1,2023-02-08,20,85.0,0.48,False,5,0,15.85
1,2023-02-09,21,76.19,-0.67,False,0,2,14.095238095238095
1,2023-02-10,13,69.23,-1.58,False,1,0,13.0
1,2023-02-11,19,68.42,-1.69,False,0,1,13.947368421052632
1,2023-02-12,25,68.0,-1.74,False,4,1,13.96
1,2023-02-13,25,72.0,-1.22,False,1,3,15.24
1,2023-02-14,23,86.96,0.73,False,0,0,17.17391304347826
1,2023-02-15,27,88.89,0.98,False,3,0,15.814814814814815
1,2023-02-16,19,89.47,1.06,False,0,0,15.421052631578947
1,2023-02-17,35,85.71,0.57,False,3,0,14.657142857142857
1,2023-02-18,26,53.85,-3.59,True,1,2,12.73076923076923
1,2023-02-19,24,100.0,2.44,True,3,1,15.083333333333334
1,2023-02-20,22,77.27,-0.53,False,2,1,14.818181818181818
1,2023-02-21,20,85.0,0.48,False,2,0,15.55
1,2023-02-22,22,90.91,1.25,False,3,0,15.590909090909092
1,2023-02-23,28,82.14,0.1,False,2,1,15.321428571428571
1,2023-02-24,28,78.57,-0.36,False,1,0,15.25
1,2023-02-25,28,82.14,0.1,False,3,0,15.75
1,2023-02-26,24,87.5,0.8,False,2,1,14.5
1,2023-02-27,21,80.95,-0.05,False,2,1,13.619047619047619
1,2023-02-28,24,87.5,0.8,False,0,0,15.75
1,2023-03-01,31,74.19,-0.94,False,2,0,14.548387096774194
1,2023-03-02,40,85.0,0.48,False,3,1,15.475
1,2023-03-03,32,84.38,0.4,False,4,3,16.9375
1,2023-03-04,20,75.0,-0.83,False,1,2,14.95
1,2023-03-05,29,93.1,1.53,False,0,0,15.793103448275861
1,2023-03-06,31,93.55,1.59,False,3,2,15.161290322580646
1,2023-03-07,35,77.14,-0.55,False,1,1,14.657142857142857
1,2023-03-08,36,77.78,-0.47,False,1,0,14.444444444444445
1,2023-03-09,28,85.71,0.57,False,1,1,14.642857142857142
1,2023-03-10,19,73.68,-1.0,False,1,0,13.68421052631579
1,2023-03-11,25,88.0,0.87,False,2,1,15.28
1,2023-03-12,23,78.26,-0.4,False,0,0,14.608695652173912
1,2023-03-13,32,81.25,-0.01,False,3,0,14.84375
1,2023-03-14,22,90.91,1.25,False,2,4,16.136363636363637
1,2023-03-15,39,71.79,-1.25,False,3,0,14.974358974358974
1,2023-03-16,19,84.21,0.37,False,1,1,16.31578947368421
1,2023-03-17,26,76.92,-0.58,False,4,3,15.384615384615385
1,2023-03-18,21,80.95,-0.05,False,2,2,15.333333333333334
1,2023-03-19,29,79.31,-0.27,False,2,0,15.310344827586206
1,2023-03-20,33,72.73,-1.13,False,2,0,14.181818181818182
1,2023-03-21,33,72.73,-1.13,False,0,2,14.06060606060606
1,2023-03-22,23,78.26,-0.4,False,1,1,14.26086956521739
1,2023-03-23,27,66.67,-1.92,False,0,0,13.444444444444445
1,2023-03-24,20,75.0,-0.83,False,2,2,14.55
1,2023-03-25,21,95.24,1.81,False,3,0,16.047619047619047
1,2023-03-26,35,80.0,-0.18,False,3,1,15.485714285714286
1,2023-03-27,33,84.85,0.46,False,4,3,15.757575757575758
1,2023-03-28,26,92.31,1.43,False,3,0,16.192307692307693
1,2023-03-29,15,73.33,-1.05,False,2,0,14.533333333333333
1,2023-03-30,26,80.77,-0.08,False,3,0,15.346153846153847
1,2023-03-31,25,92.0,1.39,False,2,1,15.72
1,2023-04-01,21,76.19,-0.67,False,4,1,14.571428571428571
1,2023-04-02,23,78.26,-0.4,False,3,0,14.565217391304348
1,2023-04-03,28,82.14,0.1,False,2,1,14.392857142857142
1,2023-04-04,26,76.92,-0.58,False,3,0,14.961538461538462
1,2023-04-05,30,80.0,-0.18,False,1,0,14.4
1,2023-04-06,27,77.78,-0.47,False,4,0,15.88888888888889
1,2023-04-07,30,86.67,0.69,False,4,1,15.066666666666666
1,2023-04-08,27,85.19,0.5,False,2,0,14.925925925925926
1,2023-04-09,24,66.67,-1.92,False,3,0,14.875
1,2023-04-10,22,77.27,-0.53,False,2,1,14.363636363636363
1,2023-04-11,24,95.83,1.89,False,2,1,16.333333333333332
1,2023-04-12,22,81.82,0.06,False,2,2,15.590909090909092
1,2023-04-13,44,77.27,-0.53,False,3,1,14.795454545454545
1,2023-04-14,23,95.65,1.87,False,1,1,16.695652173913043
1,2023-04-15,30,73.33,-1.05,False,3,0,16.1
1,2023-04-16,25,84.0,0.35,False,1,1,15.76
1,2023-04-17,25,72.0,-1.22,False,1,2,13.84
1,2023-04-18,23,78.26,-0.4,False,2,2,15.478260869565217
1,2023-04-19,17,82.35,0.13,False,2,0,15.117647058823529
1,2023-04-20,19,78.95,-0.31,False,2,0,14.052631578947368
1,2023-04-21,28,71.43,-1.3,False,3,1,14.571428571428571
1,2023-04-22,26,84.62,0.43,False,3,0,13.692307692307692
1,2023-04-23,26,88.46,0.93,False,1,1,15.076923076923077
1,2023-04-24,25,76.0,-0.7,False,3,2,15.72
1,2023-04-25,24,79.17,-0.28,False,2,2,14.791666666666666
1,2023-04-26,30,86.67,0.69,False,3,0,15.0
1,2023-04-27,29,86.21,0.63,False,3,1,15.689655172413794
1,2023-04-28,21,80.95,-0.05,False,2,2,14.666666666666666
1,2023-04-29,31,80.65,-0.09,False,2,0,14.870967741935484
1,2023-04-30,27,81.48,0.02,False,1,1,14.88888888888889
1,2023-05-01,29,75.86,-0.72,False,0,2,15.10344827586207
1,2023-05-02,23,86.96,0.73,False,0,0,15.347826086956522
1,2023-05-03,24,83.33,0.26,False,2,0,15.375
1,2023-05-04,28,85.71,0.57,False,0,3,14.642857142857142
1,2023-05-05,22,90.91,1.25,False,1,2,16.318181818181817
1,2023-05-06,30,83.33,0.26,False,3,1,15.5
1,2023-05-07,31,77.42,-0.51,False,4,1,16.806451612903224
1,2023-05-08,29,68.97,-1.62,False,2,1,14.793103448275861
1,2023-05-09,20,80.0,-0.18,False,1,0,15.05
1,2023-05-10,37,83.78,0.32,False,2,1,15.594594594594595
1,2023-05-11,27,85.19,0.5,False,3,0,16.14814814814815
1,2023-05-12,28,82.14,0.1,False,2,0,15.321428571428571
1,2023-05-13,23,73.91,-0.97,False,2,0,14.304347826086957
1,2023-05-14,17,82.35,0.13,False,0,1,13.823529411764707
1,2023-05-15,30,73.33,-1.05,False,2,0,14.566666666666666
1,2023-05-16,30,83.33,0.26,False,1,0,15.933333333333334
1,2023-05-17,18,94.44,1.71,False,2,0,15.666666666666666
1,2023-05-18,18,88.89,0.98,False,0,0,15.444444444444445
1,2023-05-19,21,80.95,-0.05,False,2,1,14.952380952380953
1,2023-05-20,32,84.38,0.4,False,2,3,16.3125
1,2023-05-21,25,76.0,-0.7,False,1,3,15.04
1,2023-05-22,27,77.78,-0.47,False,1,0,15.11111111111111
1,2023-05-23,32,81.25,-0.01,False,1,1,14.75
1,2023-05-24,22,68.18,-1.72,False,3,1,13.681818181818182
1,2023-05-25,22,86.36,0.65,False,3,2,14.5
1,2023-05-26,22,90.91,1.25,False,0,1,15.227272727272727
1,2023-05-27,20,80.0,-0.18,False,3,0,14.6
1,2023-05-28,27,96.3,1.95,False,0,1,16.62962962962963
1,2023-05-29,25,76.0,-0.7,False,2,0,15.28
1,2023-05-30,21,80.95,-0.05,False,3,3,14.142857142857142
1,2023-05-31,29,86.21,0.63,False,3,0,15.793103448275861
1,2023-06-01,29,86.21,0.63,False,2,0,14.689655172413794
1,2023-06-02,30,76.67,-0.61,False,4,0,13.733333333333333
1,2023-06-03,32,84.38,0.4,False,1,1,14.4375
1,2023-06-04,27,77.78,-0.47,False,0,0,15.481481481481481
1,2023-06-05,23,91.3,1.3,False,3,1,15.91304347826087
1,2023-06-06,25,80.0,-0.18,False,2,0,14.32
1,2023-06-07,31,74.19,-0.94,False,2,4,14.64516129032258
1,2023-06-08,28,82.14,0.1,False,3,0,15.357142857142858
1,2023-06-09,28,82.14,0.1,False,0,2,14.785714285714286
1,2023-06-10,25,92.0,1.39,False,3,2,16.2
1,2023-06-11,18,94.44,1.71,False,0,0,16.166666666666668
1,2023-06-12,25,96.0,1.91,False,2,0,15.48
1,2023-06-13,14,64.29,-2.23,True,2,0,14.071428571428571
1,2023-06-14,20,85.0,0.48,False,1,0,13.5
1,2023-06-15,35,74.29,-0.92,False,4,1,14.2
1,2023-06-16,28,82.14,0.1,False,3,1,15.5
1,2023-06-17,19,68.42,-1.69,False,1,1,14.736842105263158
1,2023-06-18,20,85.0,0.48,False,1,0,14.25
1,2023-06-19,32,87.5,0.8,False,3,0,14.59375
1,2023-06-20,25,88.0,0.87,False,1,1,15.64
1,2023-06-21,22,72.73,-1.13,False,4,1,14.318181818181818
1,2023-06-22,23,78.26,-0.4,False,2,0,16.26086956521739
1,2023-06-23,25,92.0,1.39,False,3,0,15.4
1,2023-06-24,28,78.57,-0.36,False,0,0,13.821428571428571
1,2023-06-25,15,73.33,-1.05,False,1,0,13.6
1,2023-06-26,23,78.26,-0.4,False,1,2,14.695652173913043
1,2023-06-27,29,79.31,-0.27,False,2,1,14.482758620689655
1,2023-06-28,25,84.0,0.35,False,1,0,14.56
1,2023-06-29,35,82.86,0.2,False,0,0,15.057142857142857
1,2023-06-30,18,66.67,-1.92,False,2,0,13.5
1,2023-07-01,28,85.71,0.57,False,2,2,15.107142857142858
1,2023-07-02,32,81.25,-0.01,False,3,0,13.9375
1,2023-07-03,26,80.77,-0.08,False,3,1,16.384615384615383
1,2023-07-04,32,90.62,1.21,False,4,0,14.96875
1,2023-07-05,21,85.71,0.57,False,1,0,14.380952380952381
1,2023-07-06,29,72.41,-1.17,False,0,2,13.172413793103448
1,2023-07-07,25,88.0,0.87,False,1,0,15.04
1,2023-07-08,24,79.17,-0.28,False,2,1,14.833333333333334
1,2023-07-09,18,88.89,0.98,False,2,0,16.38888888888889
1,2023-07-10,21,61.9,-2.54,True,0,0,13.476190476190476
1,2023-07-11,26,69.23,-1.58,False,2,1,13.307692307692308
1,2023-07-12,19,84.21,0.37,False,0,0,13.894736842105264
1,2023-07-13,25,72.0,-1.22,False,2,0,14.12
1,2023-07-14,29,75.86,-0.72,False,0,2,15.344827586206897
1,2023-07-15,27,96.3,1.95,False,3,0,16.037037037037038
1,2023-07-16,33,87.88,0.85,False,4,2,15.636363636363637
1,2023-07-17,27,85.19,0.5,False,2,0,15.481481481481481
1,2023-07-18,34,76.47,-0.64,False,3,0,15.176470588235293
1,2023-07-19,15,60.0,-2.79,True,0,0,12.933333333333334
1,2023-07-20,30,86.67,0.69,False,4,1,15.1
1,2023-07-21,26,84.62,0.43,False,1,0,15.538461538461538
1,2023-07-22,25,76.0,-0.7,False,2,1,15.2
1,2023-07-23,19,73.68,-1.0,False,4,0,16.210526315789473
1,2023-07-24,29,75.86,-0.72,False,1,0,13.620689655172415
1,2023-07-25,26,88.46,0.93,False,0,1,16.846153846153847
1,2023-07-26,32,84.38,0.4,False,2,0,15.03125
1,2023-07-27,25,84.0,0.35,False,4,0,14.88
1,2023-07-28,31,87.1,0.75,False,1,0,15.290322580645162
1,2023-07-29,29,86.21,0.63,False,3,1,16.275862068965516
1,2023-07-30,22,90.91,1.25,False,1,2,16.136363636363637
1,2023-07-31,27,74.07,-0.95,False,2,0,14.925925925925926
1,2023-08-01,29,86.21,0.63,False,3,0,14.689655172413794
1,2023-08-02,29,79.31,-0.27,False,3,1,14.655172413793103
1,2023-08-03,25,80.0,-0.18,False,1,0,14.88
1,2023-08-04,21,80.95,-0.05,False,3,0,13.666666666666666
1,2023-08-05,20,80.0,-0.18,False,2,0,14.35
1,2023-08-06,27,85.19,0.5,False,1,0,14.555555555555555
1,2023-08-07,22,90.91,1.25,False,1,0,16.0
1,2023-08-08,23,91.3,1.3,False,3,0,15.304347826086957
1,2023-08-09,28,78.57,-0.36,False,6,0,14.071428571428571
1,2023-08-10,20,90.0,1.13,False,2,0,14.35
1,2023-08-11,31,70.97,-1.36,False,1,0,14.35483870967742
1,2023-08-12,25,80.0,-0.18,False,2,0,14.76
1,2023-08-13,30,86.67,0.69,False,6,2,16.566666666666666
